time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0119332895276394e-07,1.280616874808446e-06,10.008682255745232,0.0007340144391916326,6.282901921640018,0.0,1.8880861403398768e-05,9.982974639114554e-05,0.28937980672066865,0.029465719883684835,-0.01641537102426835,0.0,494.1596693275955,492.94843192685994,492.04885705160325,494.2249473916289
0.12000000000000001,1.0916452972093855e-05,2.9078678366799235e-05,10.02900391713768,0.002206765863225435,6.281773048256419,0.0,0.000448707764628053,0.0009942174048440653,0.38797966544798557,0.01223270823001111,-0.024105320231856915,0.0,436.35684884761,435.71456708684866,437.80080605999416,436.3649330062351
0.18,7.246897108144602e-05,0.00013688747397133934,10.055199465556203,0.0025992135161043706,6.280225473266391,0.0,0.0017548226321477166,0.0026601394140860243,0.4851680081252632,-0.008386558475453108,-0.029401348771902872,0.0,436.5189608076445,436.07671725931846,436.92862046024777,435.20641229556213
0.23999999999999996,0.00025846255030898517,0.0003586116446140375,10.091480254853964,0.0018445018671870983,6.279043228556194,0.0,0.004619157740178225,0.004655350653746968,0.7240703263550264,-0.022660049435344234,-0.005194235908836326,0.0,478.42889311289076,480.2681544333144,479.65717414329004,478.57225291557165
0.3,0.000623018532955137,0.0006713083632308019,10.138065509723386,0.0007258706028965278,6.278648079425041,0.0,0.0075685400795399245,0.005641553151528226,0.8287010423259535,-0.011626526206985654,-0.009525403467074927,0.0,439.72226470368787,439.36347665977144,437.84309595500133,438.7599866742874
0.36000000000000004,0.0011647462696248122,0.0010210940029364848,10.188982702464836,8.590206501235542e-05,6.277906356417404,0.0,0.01054937689142524,0.005955750910872594,0.868508784583229,-0.008811427579422097,-0.01874327365151848,0.0,419.2785010688268,418.4770957239305,417.1624956936632,417.40832238426134
0.4200000000000001,0.0019246063330241848,0.0013781216062083315,10.246543393913749,6.282390749185545,6.276595594855081,0.0,0.014916381916663932,0.005869159455932887,1.050030826710892,-0.030218239140468405,-0.028912637140811066,0.0,463.13009167721214,462.32964132307814,463.7663905383113,462.0822102825626
0.48000000000000015,0.0029779064109394667,0.0017043533928529913,10.314839921484944,6.2806054583205935,6.275123942100915,0.0,0.020372707334723236,0.004801604811317459,1.2263458884778364,-0.02884396008367438,-0.01695076479917789,0.0,461.4982866823537,462.4412963503375,461.1672690185693,461.2755546851976
0.5400000000000001,0.004398922623143345,0.0019229092367998024,10.394926125312944,6.279275169011182,6.274589930253821,0.0,0.02708070984446463,0.0023048255440080295,1.442944972972494,-0.011371781656224713,0.0036607447709416947,0.0,472.4763617906853,474.06272231369286,473.93799983236033,475.278835857063
0.6000000000000002,0.0062303011333276976,0.001964690743779047,10.487994742001964,6.279228399487437,6.274392972349023,0.0,0.033954232624631646,-0.000947638736984529,1.659053973928454,0.01472896291265909,-0.0231686064801569,0.0,475.02800305655967,472.96640743716404,473.6519883099057,475.65489972803726
0.6600000000000003,0.008495392113973542,0.0018115455404934988,10.595254401831749,6.280077991495684,6.2739776173711075,0.0,0.04164381792764138,-0.004047168103700789,1.915873452754841,0.012996700257675674,0.014035172275864077,0.0,485.86940612774043,488.6505028139837,486.2286980226481,486.09878599796895
0.7200000000000003,0.011219433492425364,0.0014948909919042604,10.717507229620795,6.280411504572701,6.275180804579989,0.0,0.04902512072068524,-0.006429164057143532,2.158796076310885,-0.01663641532435956,0.02997177005712076,0.0,482.90311444784237,484.10362819917685,484.689114209753,482.45702287586283
0.7800000000000004,0.014324950597549586,0.0010458138929539417,10.850749958732319,6.279184329946705,6.276830054287565,0.0,0.05430779182332664,-0.008655282318577899,2.2823907295637893,-0.029454244171011657,0.021988661151313434,0.0,449.23199721150206,448.5844113901537,449.2090586072967,448.1684916940769
0.8400000000000004,0.01772482548499255,0.00042629630139244507,10.993172734175262,6.277329919524442,6.277843221001223,0.0,0.058882755328761985,-0.01220019043031523,2.4646603652584433,-0.03398235538297627,0.003978535458376783,0.0,466.66165754643873,465.253672580504,468.49728357692743,468.1448193642193
0.9000000000000005,0.02136040308296293,-0.00042673762331520046,11.142809627440805,6.275278741248922,6.278262062470326,0.0,0.06227034175880502,-0.01642947832264915,2.523107662735453,-0.034597266165827846,0.012394881041344513,0.0,429.48802650089954,430.20114724749095,429.12741400882106,429.07468690471717
0.9600000000000005,0.02521658542189159,-0.001622113212632612,11.301809991671268,6.2730864160884465,6.279574370291343,0.0,0.06613224252077538,-0.023677146633550528,2.7763236955562194,-0.040734696985690516,0.036129789137146,0.0,487.7530034785074,489.522304795904,489.27958423217075,488.8219709740202
1.0200000000000005,0.029256200015937883,-0.0032784305450924817,11.473076227018991,6.270730062342842,6.2815989399152965,0.0,0.0682885353542126,-0.03179377816110651,2.9321624389914085,-0.03649855498767874,0.028482616114997823,0.0,461.62872128599616,461.0253100065994,461.4419385102288,461.7755066034778
1.0800000000000005,0.03337912860270302,-0.005446562478042146,11.651628949972263,6.268853741032519,8.638593125454008e-05,0.0,0.06897270457882088,-0.04067622486149882,3.019366317837551,-0.02246250172474678,0.026644462163697574,0.0,440.9985441024886,440.84689089626215,440.6644704900657,441.82283255644
1.1400000000000006,0.03750821588185775,-0.008204478201545665,11.836954188871744,6.268127213260673,0.0011125527328044171,0.0,0.06850230795046201,-0.0513546665092191,3.157768183391126,0.0031369945325259822,-0.020509220630585443,0.0,459.9731486425621,456.2236166293166,455.7950025502719,457.8364049098018
